mouse_ens_id	mouse_gene_symbol	human_ens_id	human_gene_symbol	human_chromosome	human_gene_start_bp
ENSMUSG00000048003	Catsper4	ENSG00000188782	CATSPER4	1	26190561
ENSMUSG00000040740	Slc25a34	ENSG00000162461	SLC25A34	1	15736258
ENSMUSG00000028809	Srrm1	ENSG00000133226	SRRM1	1	24631716
ENSMUSG00000028822	Tmem50a	ENSG00000183726	TMEM50A	1	25338317
ENSMUSG00000007880	Arid1a	ENSG00000117713	ARID1A	1	26693236
ENSMUSG00000036896	C1qc	ENSG00000159189	C1QC	1	22643633
ENSMUSG00000037583	Nr0b2	ENSG00000131910	NR0B2	1	26911489
ENSMUSG00000028793	Rnf19b	ENSG00000116514	RNF19B	1	32936445
ENSMUSG00000066043	Phactr4	ENSG00000204138	PHACTR4	1	28369582
ENSMUSG00000001334	Fndc5	ENSG00000160097	FNDC5	1	32862268
ENSMUSG00000028580	Pum1	ENSG00000134644	PUM1	1	30931506
ENSMUSG00000000409	Lck	ENSG00000182866	LCK	1	32251239
ENSMUSG00000066027	Gm10436	ENSG00000279169	PRAMEF13	1	13196188
ENSMUSG00000066027	Gm10436	ENSG00000279804	PRAMEF18	1	13222705
ENSMUSG00000066027	Gm10436	ENSG00000270601	PRAMEF5	1	13254212
ENSMUSG00000066027	Gm10436	ENSG00000182330	PRAMEF8	1	13281035
ENSMUSG00000066027	Gm10436	ENSG00000237700	PRAMEF33	1	13303539
ENSMUSG00000066027	Gm10436	ENSG00000204501	PRAMEF15	1	13315581
ENSMUSG00000066027	Gm10436	ENSG00000204481	PRAMEF14	1	13341892
ENSMUSG00000066027	Gm10436	ENSG00000204480	PRAMEF19	1	13369067
ENSMUSG00000066027	Gm10436	ENSG00000204479	PRAMEF17	1	13389632
ENSMUSG00000066027	Gm10436	ENSG00000204478	PRAMEF20	1	13410450
ENSMUSG00000066688	Gm13083	ENSG00000204505	PRAMEF9	1	13172455
ENSMUSG00000066688	Gm13083	ENSG00000279169	PRAMEF13	1	13196188
ENSMUSG00000066688	Gm13083	ENSG00000279804	PRAMEF18	1	13222705
ENSMUSG00000066688	Gm13083	ENSG00000270601	PRAMEF5	1	13254212
ENSMUSG00000066688	Gm13083	ENSG00000182330	PRAMEF8	1	13281035
ENSMUSG00000066688	Gm13083	ENSG00000237700	PRAMEF33	1	13303539
ENSMUSG00000066688	Gm13083	ENSG00000204501	PRAMEF15	1	13315581
ENSMUSG00000066688	Gm13083	ENSG00000204481	PRAMEF14	1	13341892
ENSMUSG00000066688	Gm13083	ENSG00000204480	PRAMEF19	1	13369067
ENSMUSG00000066688	Gm13083	ENSG00000204479	PRAMEF17	1	13389632
ENSMUSG00000066688	Gm13083	ENSG00000204478	PRAMEF20	1	13410450
ENSMUSG00000047281	Sfn	ENSG00000175793	SFN	1	26863149
ENSMUSG00000078532	Nkain1	ENSG00000084628	NKAIN1	1	31179745
ENSMUSG00000078512	Pramef6	ENSG00000279169	PRAMEF13	1	13196188
ENSMUSG00000078512	Pramef6	ENSG00000279804	PRAMEF18	1	13222705
ENSMUSG00000078512	Pramef6	ENSG00000270601	PRAMEF5	1	13254212
ENSMUSG00000078512	Pramef6	ENSG00000182330	PRAMEF8	1	13281035
ENSMUSG00000078512	Pramef6	ENSG00000237700	PRAMEF33	1	13303539
ENSMUSG00000078512	Pramef6	ENSG00000204501	PRAMEF15	1	13315581
ENSMUSG00000078512	Pramef6	ENSG00000204481	PRAMEF14	1	13341892
ENSMUSG00000078512	Pramef6	ENSG00000204480	PRAMEF19	1	13369067
ENSMUSG00000078512	Pramef6	ENSG00000204479	PRAMEF17	1	13389632
ENSMUSG00000078512	Pramef6	ENSG00000204478	PRAMEF20	1	13410450
ENSMUSG00000078520	Cela3a	ENSG00000219073	CELA3B	1	21977022
ENSMUSG00000078520	Cela3a	ENSG00000142789	CELA3A	1	22001657
ENSMUSG00000100622	RP24-447G12.2	ENSG00000198830	HMGN2	1	26472440
ENSMUSG00000006699	Cdc42	ENSG00000070831	CDC42	1	22025511
ENSMUSG00000028753	Vwa5b1	ENSG00000158816	VWA5B1	1	20290919
ENSMUSG00000036856	Wnt4	ENSG00000162552	WNT4	1	22117313
ENSMUSG00000058908	Pla2g2a	ENSG00000188257	PLA2G2A	1	19975431
ENSMUSG00000095409	Gm13043	ENSG00000279169	PRAMEF13	1	13196188
ENSMUSG00000095409	Gm13043	ENSG00000279804	PRAMEF18	1	13222705
ENSMUSG00000095409	Gm13043	ENSG00000270601	PRAMEF5	1	13254212
ENSMUSG00000095409	Gm13043	ENSG00000182330	PRAMEF8	1	13281035
ENSMUSG00000095409	Gm13043	ENSG00000237700	PRAMEF33	1	13303539
ENSMUSG00000095409	Gm13043	ENSG00000204501	PRAMEF15	1	13315581
ENSMUSG00000095409	Gm13043	ENSG00000204481	PRAMEF14	1	13341892
ENSMUSG00000095409	Gm13043	ENSG00000204480	PRAMEF19	1	13369067
ENSMUSG00000095409	Gm13043	ENSG00000204479	PRAMEF17	1	13389632
ENSMUSG00000095409	Gm13043	ENSG00000204478	PRAMEF20	1	13410450
ENSMUSG00000028738	Tas1r2	ENSG00000179002	TAS1R2	1	18839599
ENSMUSG00000065714	Gm25652	ENSG00000207511	RNU6-771P	1	13279125
ENSMUSG00000028803	Nipal3	ENSG00000001461	NIPAL3	1	24415802
ENSMUSG00000028821	Syf2	ENSG00000117614	SYF2	1	25222276
ENSMUSG00000028758	Kif17	ENSG00000117245	KIF17	1	20664014
ENSMUSG00000028799	Zfp362	ENSG00000160094	ZNF362	1	33256492
ENSMUSG00000073723	Gm13102	ENSG00000279169	PRAMEF13	1	13196188
ENSMUSG00000073723	Gm13102	ENSG00000279804	PRAMEF18	1	13222705
ENSMUSG00000073723	Gm13102	ENSG00000270601	PRAMEF5	1	13254212
ENSMUSG00000073723	Gm13102	ENSG00000182330	PRAMEF8	1	13281035
ENSMUSG00000073723	Gm13102	ENSG00000237700	PRAMEF33	1	13303539
ENSMUSG00000073723	Gm13102	ENSG00000204501	PRAMEF15	1	13315581
ENSMUSG00000073723	Gm13102	ENSG00000204481	PRAMEF14	1	13341892
ENSMUSG00000073723	Gm13102	ENSG00000204480	PRAMEF19	1	13369067
ENSMUSG00000073723	Gm13102	ENSG00000204479	PRAMEF17	1	13389632
ENSMUSG00000073723	Gm13102	ENSG00000204478	PRAMEF20	1	13410450
ENSMUSG00000084702	Gm22986	ENSG00000278274	SNORA61	1	28579764
ENSMUSG00000028914	Casp9	ENSG00000132906	CASP9	1	15490832
ENSMUSG00000078626	Gm12790	ENSG00000279169	PRAMEF13	1	13196188
ENSMUSG00000078626	Gm12790	ENSG00000279804	PRAMEF18	1	13222705
ENSMUSG00000078626	Gm12790	ENSG00000270601	PRAMEF5	1	13254212
ENSMUSG00000078626	Gm12790	ENSG00000182330	PRAMEF8	1	13281035
ENSMUSG00000078626	Gm12790	ENSG00000237700	PRAMEF33	1	13303539
ENSMUSG00000078626	Gm12790	ENSG00000204501	PRAMEF15	1	13315581
ENSMUSG00000078626	Gm12790	ENSG00000204481	PRAMEF14	1	13341892
ENSMUSG00000078626	Gm12790	ENSG00000204480	PRAMEF19	1	13369067
ENSMUSG00000078626	Gm12790	ENSG00000204479	PRAMEF17	1	13389632
ENSMUSG00000078626	Gm12790	ENSG00000204478	PRAMEF20	1	13410450
ENSMUSG00000028788	Ptp4a2	ENSG00000184007	PTP4A2	1	31906421
ENSMUSG00000078552	Dcdc2b	ENSG00000222046	DCDC2B	1	32209094
ENSMUSG00000028917	Plekhm2	ENSG00000116786	PLEKHM2	1	15684320
ENSMUSG00000028911	Srsf4	ENSG00000116350	SRSF4	1	29147743
ENSMUSG00000046447	Camk2n1	ENSG00000162545	CAMK2N1	1	20482391
ENSMUSG00000046435	Gm13078	ENSG00000279169	PRAMEF13	1	13196188
ENSMUSG00000046435	Gm13078	ENSG00000279804	PRAMEF18	1	13222705
ENSMUSG00000046435	Gm13078	ENSG00000270601	PRAMEF5	1	13254212
ENSMUSG00000046435	Gm13078	ENSG00000182330	PRAMEF8	1	13281035
ENSMUSG00000046435	Gm13078	ENSG00000237700	PRAMEF33	1	13303539
ENSMUSG00000046435	Gm13078	ENSG00000204501	PRAMEF15	1	13315581
ENSMUSG00000046435	Gm13078	ENSG00000204481	PRAMEF14	1	13341892
ENSMUSG00000046435	Gm13078	ENSG00000204480	PRAMEF19	1	13369067
ENSMUSG00000046435	Gm13078	ENSG00000204479	PRAMEF17	1	13389632
ENSMUSG00000046435	Gm13078	ENSG00000204478	PRAMEF20	1	13410450
ENSMUSG00000041193	Pla2g5	ENSG00000127472	PLA2G5	1	20028179
ENSMUSG00000072821	Gm6351	ENSG00000279169	PRAMEF13	1	13196188
ENSMUSG00000072821	Gm6351	ENSG00000279804	PRAMEF18	1	13222705
ENSMUSG00000072821	Gm6351	ENSG00000270601	PRAMEF5	1	13254212
ENSMUSG00000072821	Gm6351	ENSG00000182330	PRAMEF8	1	13281035
ENSMUSG00000072821	Gm6351	ENSG00000237700	PRAMEF33	1	13303539
ENSMUSG00000072821	Gm6351	ENSG00000204501	PRAMEF15	1	13315581
ENSMUSG00000072821	Gm6351	ENSG00000204481	PRAMEF14	1	13341892
ENSMUSG00000072821	Gm6351	ENSG00000204480	PRAMEF19	1	13369067
ENSMUSG00000072821	Gm6351	ENSG00000204479	PRAMEF17	1	13389632
ENSMUSG00000072821	Gm6351	ENSG00000204478	PRAMEF20	1	13410450
ENSMUSG00000012126	Ubxn11	ENSG00000158062	UBXN11	1	26281328
ENSMUSG00000058579	Cela2a	ENSG00000142615	CELA2A	1	15456728
ENSMUSG00000058579	Cela2a	ENSG00000215704	CELA2B	1	15465909
ENSMUSG00000092166	Gm7942	ENSG00000279169	PRAMEF13	1	13196188
ENSMUSG00000092166	Gm7942	ENSG00000279804	PRAMEF18	1	13222705
ENSMUSG00000092166	Gm7942	ENSG00000270601	PRAMEF5	1	13254212
ENSMUSG00000092166	Gm7942	ENSG00000182330	PRAMEF8	1	13281035
ENSMUSG00000092166	Gm7942	ENSG00000237700	PRAMEF33	1	13303539
ENSMUSG00000092166	Gm7942	ENSG00000204501	PRAMEF15	1	13315581
ENSMUSG00000092166	Gm7942	ENSG00000204481	PRAMEF14	1	13341892
ENSMUSG00000092166	Gm7942	ENSG00000204480	PRAMEF19	1	13369067
ENSMUSG00000092166	Gm7942	ENSG00000204479	PRAMEF17	1	13389632
ENSMUSG00000092166	Gm7942	ENSG00000204478	PRAMEF20	1	13410450
ENSMUSG00000037139	Myom3	ENSG00000142661	MYOM3	1	24056035
ENSMUSG00000028661	Epha8	ENSG00000070886	EPHA8	1	22563489
ENSMUSG00000040795	Iqcc	ENSG00000160051	IQCC	1	32205671
ENSMUSG00000028755	Cda	ENSG00000158825	CDA	1	20589086
ENSMUSG00000028879	Stx12	ENSG00000117758	STX12	1	27773219
ENSMUSG00000041351	Rap1gap	ENSG00000076864	RAP1GAP	1	21596215
ENSMUSG00000070619	Gm13119	ENSG00000279169	PRAMEF13	1	13196188
ENSMUSG00000070619	Gm13119	ENSG00000279804	PRAMEF18	1	13222705
ENSMUSG00000070619	Gm13119	ENSG00000270601	PRAMEF5	1	13254212
ENSMUSG00000070619	Gm13119	ENSG00000182330	PRAMEF8	1	13281035
ENSMUSG00000070619	Gm13119	ENSG00000237700	PRAMEF33	1	13303539
ENSMUSG00000070619	Gm13119	ENSG00000204501	PRAMEF15	1	13315581
ENSMUSG00000070619	Gm13119	ENSG00000204481	PRAMEF14	1	13341892
ENSMUSG00000070619	Gm13119	ENSG00000204480	PRAMEF19	1	13369067
ENSMUSG00000070619	Gm13119	ENSG00000204479	PRAMEF17	1	13389632
ENSMUSG00000070619	Gm13119	ENSG00000204478	PRAMEF20	1	13410450
ENSMUSG00000040025	Ythdf2	ENSG00000198492	YTHDF2	1	28736621
ENSMUSG00000028909	Ptpru	ENSG00000060656	PTPRU	1	29236516
ENSMUSG00000056596	Trnp1	ENSG00000253368	TRNP1	1	26993692
ENSMUSG00000078508	Gm13128	ENSG00000279169	PRAMEF13	1	13196188
ENSMUSG00000078508	Gm13128	ENSG00000279804	PRAMEF18	1	13222705
ENSMUSG00000078508	Gm13128	ENSG00000270601	PRAMEF5	1	13254212
ENSMUSG00000078508	Gm13128	ENSG00000182330	PRAMEF8	1	13281035
ENSMUSG00000078508	Gm13128	ENSG00000237700	PRAMEF33	1	13303539
ENSMUSG00000078508	Gm13128	ENSG00000204501	PRAMEF15	1	13315581
ENSMUSG00000078508	Gm13128	ENSG00000204481	PRAMEF14	1	13341892
ENSMUSG00000078508	Gm13128	ENSG00000204480	PRAMEF19	1	13369067
ENSMUSG00000078508	Gm13128	ENSG00000204479	PRAMEF17	1	13389632
ENSMUSG00000078508	Gm13128	ENSG00000204478	PRAMEF20	1	13410450
ENSMUSG00000028860	Sytl1	ENSG00000142765	SYTL1	1	27342020
ENSMUSG00000028785	Hpca	ENSG00000121905	HPCA	1	32885994
ENSMUSG00000096154	Gm13057	ENSG00000279169	PRAMEF13	1	13196188
ENSMUSG00000096154	Gm13057	ENSG00000279804	PRAMEF18	1	13222705
ENSMUSG00000096154	Gm13057	ENSG00000270601	PRAMEF5	1	13254212
ENSMUSG00000096154	Gm13057	ENSG00000182330	PRAMEF8	1	13281035
ENSMUSG00000096154	Gm13057	ENSG00000237700	PRAMEF33	1	13303539
ENSMUSG00000096154	Gm13057	ENSG00000204501	PRAMEF15	1	13315581
ENSMUSG00000096154	Gm13057	ENSG00000204481	PRAMEF14	1	13341892
ENSMUSG00000096154	Gm13057	ENSG00000204480	PRAMEF19	1	13369067
ENSMUSG00000096154	Gm13057	ENSG00000204479	PRAMEF17	1	13389632
ENSMUSG00000096154	Gm13057	ENSG00000204478	PRAMEF20	1	13410450
ENSMUSG00000028886	Eya3	ENSG00000158161	EYA3	1	27970344
ENSMUSG00000028910	Mecr	ENSG00000116353	MECR	1	29192657
ENSMUSG00000066036	Ubr4	ENSG00000127481	UBR4	1	19074510
ENSMUSG00000028664	Ephb2	ENSG00000133216	EPHB2	1	22710839
ENSMUSG00000028832	Stmn1	ENSG00000117632	STMN1	1	25884181
ENSMUSG00000037366	Pafah2	ENSG00000158006	PAFAH2	1	25959767
ENSMUSG00000037752	Xkr8	ENSG00000158156	XKR8	1	27959588
ENSMUSG00000006219	Fblim1	ENSG00000162458	FBLIM1	1	15756607
ENSMUSG00000096230	Gm16429	ENSG00000279169	PRAMEF13	1	13196188
ENSMUSG00000096230	Gm16429	ENSG00000279804	PRAMEF18	1	13222705
ENSMUSG00000096230	Gm16429	ENSG00000270601	PRAMEF5	1	13254212
ENSMUSG00000096230	Gm16429	ENSG00000182330	PRAMEF8	1	13281035
ENSMUSG00000096230	Gm16429	ENSG00000237700	PRAMEF33	1	13303539
ENSMUSG00000096230	Gm16429	ENSG00000204501	PRAMEF15	1	13315581
ENSMUSG00000096230	Gm16429	ENSG00000204481	PRAMEF14	1	13341892
ENSMUSG00000096230	Gm16429	ENSG00000204480	PRAMEF19	1	13369067
ENSMUSG00000096230	Gm16429	ENSG00000204479	PRAMEF17	1	13389632
ENSMUSG00000096230	Gm16429	ENSG00000204478	PRAMEF20	1	13410450
ENSMUSG00000028581	Laptm5	ENSG00000162511	LAPTM5	1	30732469
ENSMUSG00000049649	Gpr3	ENSG00000181773	GPR3	1	27392622
ENSMUSG00000040964	Arhgef10l	ENSG00000074964	ARHGEF10L	1	17539698
ENSMUSG00000047945	Marcksl1	ENSG00000175130	MARCKSL1	1	32333839
ENSMUSG00000046671	Mtfr1l	ENSG00000117640	MTFR1L	1	25818640
ENSMUSG00000096044	Gm16427	ENSG00000279169	PRAMEF13	1	13196188
ENSMUSG00000096044	Gm16427	ENSG00000279804	PRAMEF18	1	13222705
ENSMUSG00000096044	Gm16427	ENSG00000270601	PRAMEF5	1	13254212
ENSMUSG00000096044	Gm16427	ENSG00000182330	PRAMEF8	1	13281035
ENSMUSG00000096044	Gm16427	ENSG00000237700	PRAMEF33	1	13303539
ENSMUSG00000096044	Gm16427	ENSG00000204501	PRAMEF15	1	13315581
ENSMUSG00000096044	Gm16427	ENSG00000204481	PRAMEF14	1	13341892
ENSMUSG00000096044	Gm16427	ENSG00000204480	PRAMEF19	1	13369067
ENSMUSG00000096044	Gm16427	ENSG00000204479	PRAMEF17	1	13389632
ENSMUSG00000096044	Gm16427	ENSG00000204478	PRAMEF20	1	13410450
ENSMUSG00000028744	Pqlc2	ENSG00000040487	SLC66A1	1	19312326
ENSMUSG00000012117	Dhdds	ENSG00000117682	DHDDS	1	26432282
ENSMUSG00000057572	Zbtb8os	ENSG00000176261	ZBTB8OS	1	32600172
ENSMUSG00000045349	Sh2d5	ENSG00000189410	SH2D5	1	20719731
ENSMUSG00000037348	Paqr7	ENSG00000182749	PAQR7	1	25861484
ENSMUSG00000037242	Clic4	ENSG00000169504	CLIC4	1	24745382
ENSMUSG00000037295	Ldlrap1	ENSG00000157978	LDLRAP1	1	25543606
ENSMUSG00000025328	Padi3	ENSG00000142619	PADI3	1	17249098
ENSMUSG00000047799	Oog4	ENSG00000279169	PRAMEF13	1	13196188
ENSMUSG00000047799	Oog4	ENSG00000279804	PRAMEF18	1	13222705
ENSMUSG00000047799	Oog4	ENSG00000270601	PRAMEF5	1	13254212
ENSMUSG00000047799	Oog4	ENSG00000182330	PRAMEF8	1	13281035
ENSMUSG00000047799	Oog4	ENSG00000237700	PRAMEF33	1	13303539
ENSMUSG00000047799	Oog4	ENSG00000204501	PRAMEF15	1	13315581
ENSMUSG00000047799	Oog4	ENSG00000204481	PRAMEF14	1	13341892
ENSMUSG00000047799	Oog4	ENSG00000204480	PRAMEF19	1	13369067
ENSMUSG00000047799	Oog4	ENSG00000204479	PRAMEF17	1	13389632
ENSMUSG00000047799	Oog4	ENSG00000204478	PRAMEF20	1	13410450
ENSMUSG00000095503	Gm3147	ENSG00000204505	PRAMEF9	1	13172455
ENSMUSG00000095503	Gm3147	ENSG00000279169	PRAMEF13	1	13196188
ENSMUSG00000095503	Gm3147	ENSG00000279804	PRAMEF18	1	13222705
ENSMUSG00000095503	Gm3147	ENSG00000270601	PRAMEF5	1	13254212
ENSMUSG00000095503	Gm3147	ENSG00000182330	PRAMEF8	1	13281035
ENSMUSG00000095503	Gm3147	ENSG00000237700	PRAMEF33	1	13303539
ENSMUSG00000095503	Gm3147	ENSG00000204501	PRAMEF15	1	13315581
ENSMUSG00000095503	Gm3147	ENSG00000204481	PRAMEF14	1	13341892
ENSMUSG00000095503	Gm3147	ENSG00000204480	PRAMEF19	1	13369067
ENSMUSG00000095503	Gm3147	ENSG00000204479	PRAMEF17	1	13389632
ENSMUSG00000095503	Gm3147	ENSG00000204478	PRAMEF20	1	13410450
ENSMUSG00000050493	Fam167b	ENSG00000183615	FAM167B	1	32247222
ENSMUSG00000028882	Ppp1r8	ENSG00000117751	PPP1R8	1	27830782
ENSMUSG00000078521	Aunip	ENSG00000127423	AUNIP	1	25831913
ENSMUSG00000060862	Zbtb40	ENSG00000184677	ZBTB40	1	22428838
ENSMUSG00000050390	C77080	ENSG00000162522	KIAA1522	1	32741830
ENSMUSG00000028584	Lrrc38	ENSG00000162494	LRRC38	1	13474973
ENSMUSG00000094195	Gm6509	ENSG00000279169	PRAMEF13	1	13196188
ENSMUSG00000094195	Gm6509	ENSG00000279804	PRAMEF18	1	13222705
ENSMUSG00000094195	Gm6509	ENSG00000270601	PRAMEF5	1	13254212
ENSMUSG00000094195	Gm6509	ENSG00000182330	PRAMEF8	1	13281035
ENSMUSG00000094195	Gm6509	ENSG00000237700	PRAMEF33	1	13303539
ENSMUSG00000094195	Gm6509	ENSG00000204501	PRAMEF15	1	13315581
ENSMUSG00000094195	Gm6509	ENSG00000204481	PRAMEF14	1	13341892
ENSMUSG00000094195	Gm6509	ENSG00000204480	PRAMEF19	1	13369067
ENSMUSG00000094195	Gm6509	ENSG00000204479	PRAMEF17	1	13389632
ENSMUSG00000094195	Gm6509	ENSG00000204478	PRAMEF20	1	13410450
ENSMUSG00000000411	Tssk3	ENSG00000162526	TSSK3	1	32351521
ENSMUSG00000028836	Slc30a2	ENSG00000158014	SLC30A2	1	26037252
ENSMUSG00000028741	Mrto4	ENSG00000053372	MRTO4	1	19251805
ENSMUSG00000094833	Gm25473	ENSG00000206981	RNU6-40P	1	31497577
ENSMUSG00000003731	Kpna6	ENSG00000025800	KPNA6	1	32108056
ENSMUSG00000028747	Htr6	ENSG00000158748	HTR6	1	19664875
ENSMUSG00000073497	AA792892	ENSG00000279169	PRAMEF13	1	13196188
ENSMUSG00000073497	AA792892	ENSG00000279804	PRAMEF18	1	13222705
ENSMUSG00000073497	AA792892	ENSG00000270601	PRAMEF5	1	13254212
ENSMUSG00000073497	AA792892	ENSG00000182330	PRAMEF8	1	13281035
ENSMUSG00000073497	AA792892	ENSG00000237700	PRAMEF33	1	13303539
ENSMUSG00000073497	AA792892	ENSG00000204501	PRAMEF15	1	13315581
ENSMUSG00000073497	AA792892	ENSG00000204481	PRAMEF14	1	13341892
ENSMUSG00000073497	AA792892	ENSG00000204480	PRAMEF19	1	13369067
ENSMUSG00000073497	AA792892	ENSG00000204479	PRAMEF17	1	13389632
ENSMUSG00000073497	AA792892	ENSG00000204478	PRAMEF20	1	13410450
ENSMUSG00000028811	Yars	ENSG00000134684	YARS1	1	32775237
ENSMUSG00000095718	Gm6502	ENSG00000204505	PRAMEF9	1	13172455
ENSMUSG00000095718	Gm6502	ENSG00000279169	PRAMEF13	1	13196188
ENSMUSG00000095718	Gm6502	ENSG00000279804	PRAMEF18	1	13222705
ENSMUSG00000095718	Gm6502	ENSG00000270601	PRAMEF5	1	13254212
ENSMUSG00000095718	Gm6502	ENSG00000182330	PRAMEF8	1	13281035
ENSMUSG00000095718	Gm6502	ENSG00000237700	PRAMEF33	1	13303539
ENSMUSG00000095718	Gm6502	ENSG00000204501	PRAMEF15	1	13315581
ENSMUSG00000095718	Gm6502	ENSG00000204481	PRAMEF14	1	13341892
ENSMUSG00000095718	Gm6502	ENSG00000204480	PRAMEF19	1	13369067
ENSMUSG00000095718	Gm6502	ENSG00000204479	PRAMEF17	1	13389632
ENSMUSG00000095718	Gm6502	ENSG00000204478	PRAMEF20	1	13410450
ENSMUSG00000073733	Rsg1	ENSG00000132881	CPLANE2	1	16231692
ENSMUSG00000095954	Gm3183	ENSG00000204505	PRAMEF9	1	13172455
ENSMUSG00000095954	Gm3183	ENSG00000279169	PRAMEF13	1	13196188
ENSMUSG00000095954	Gm3183	ENSG00000279804	PRAMEF18	1	13222705
ENSMUSG00000095954	Gm3183	ENSG00000270601	PRAMEF5	1	13254212
ENSMUSG00000095954	Gm3183	ENSG00000182330	PRAMEF8	1	13281035
ENSMUSG00000095954	Gm3183	ENSG00000237700	PRAMEF33	1	13303539
ENSMUSG00000095954	Gm3183	ENSG00000204501	PRAMEF15	1	13315581
ENSMUSG00000095954	Gm3183	ENSG00000204481	PRAMEF14	1	13341892
ENSMUSG00000095954	Gm3183	ENSG00000204480	PRAMEF19	1	13369067
ENSMUSG00000095954	Gm3183	ENSG00000204479	PRAMEF17	1	13389632
ENSMUSG00000095954	Gm3183	ENSG00000204478	PRAMEF20	1	13410450
ENSMUSG00000028763	Hspg2	ENSG00000142798	HSPG2	1	21822244
ENSMUSG00000095996	Gm16513	ENSG00000279169	PRAMEF13	1	13196188
ENSMUSG00000095996	Gm16513	ENSG00000279804	PRAMEF18	1	13222705
ENSMUSG00000095996	Gm16513	ENSG00000270601	PRAMEF5	1	13254212
ENSMUSG00000095996	Gm16513	ENSG00000182330	PRAMEF8	1	13281035
ENSMUSG00000095996	Gm16513	ENSG00000237700	PRAMEF33	1	13303539
ENSMUSG00000095996	Gm16513	ENSG00000204501	PRAMEF15	1	13315581
ENSMUSG00000095996	Gm16513	ENSG00000204481	PRAMEF14	1	13341892
ENSMUSG00000095996	Gm16513	ENSG00000204480	PRAMEF19	1	13369067
ENSMUSG00000095996	Gm16513	ENSG00000204479	PRAMEF17	1	13389632
ENSMUSG00000095996	Gm16513	ENSG00000204478	PRAMEF20	1	13410450
ENSMUSG00000072814	Gm7982	ENSG00000204505	PRAMEF9	1	13172455
ENSMUSG00000072814	Gm7982	ENSG00000279169	PRAMEF13	1	13196188
ENSMUSG00000072814	Gm7982	ENSG00000279804	PRAMEF18	1	13222705
ENSMUSG00000072814	Gm7982	ENSG00000270601	PRAMEF5	1	13254212
ENSMUSG00000072814	Gm7982	ENSG00000182330	PRAMEF8	1	13281035
ENSMUSG00000072814	Gm7982	ENSG00000237700	PRAMEF33	1	13303539
ENSMUSG00000072814	Gm7982	ENSG00000204501	PRAMEF15	1	13315581
ENSMUSG00000072814	Gm7982	ENSG00000204481	PRAMEF14	1	13341892
ENSMUSG00000072814	Gm7982	ENSG00000204480	PRAMEF19	1	13369067
ENSMUSG00000072814	Gm7982	ENSG00000204479	PRAMEF17	1	13389632
ENSMUSG00000072814	Gm7982	ENSG00000204478	PRAMEF20	1	13410450
ENSMUSG00000070677	D5Ertd577e	ENSG00000204505	PRAMEF9	1	13172455
ENSMUSG00000070677	D5Ertd577e	ENSG00000279169	PRAMEF13	1	13196188
ENSMUSG00000070677	D5Ertd577e	ENSG00000279804	PRAMEF18	1	13222705
ENSMUSG00000070677	D5Ertd577e	ENSG00000270601	PRAMEF5	1	13254212
ENSMUSG00000070677	D5Ertd577e	ENSG00000182330	PRAMEF8	1	13281035
ENSMUSG00000070677	D5Ertd577e	ENSG00000237700	PRAMEF33	1	13303539
ENSMUSG00000070677	D5Ertd577e	ENSG00000204501	PRAMEF15	1	13315581
ENSMUSG00000070677	D5Ertd577e	ENSG00000204481	PRAMEF14	1	13341892
ENSMUSG00000070677	D5Ertd577e	ENSG00000204480	PRAMEF19	1	13369067
ENSMUSG00000070677	D5Ertd577e	ENSG00000204479	PRAMEF17	1	13389632
ENSMUSG00000070677	D5Ertd577e	ENSG00000204478	PRAMEF20	1	13410450
ENSMUSG00000037188	Grhl3	ENSG00000158055	GRHL3	1	24319357
ENSMUSG00000048485	Zbtb8b	ENSG00000254553		1	32465057
ENSMUSG00000048485	Zbtb8b	ENSG00000273274	ZBTB8B	1	32465072
ENSMUSG00000023232	Serinc2	ENSG00000168528	SERINC2	1	31409565
ENSMUSG00000046133	C130073F10Rik	ENSG00000279169	PRAMEF13	1	13196188
ENSMUSG00000046133	C130073F10Rik	ENSG00000279804	PRAMEF18	1	13222705
ENSMUSG00000046133	C130073F10Rik	ENSG00000270601	PRAMEF5	1	13254212
ENSMUSG00000046133	C130073F10Rik	ENSG00000182330	PRAMEF8	1	13281035
ENSMUSG00000046133	C130073F10Rik	ENSG00000237700	PRAMEF33	1	13303539
ENSMUSG00000046133	C130073F10Rik	ENSG00000204501	PRAMEF15	1	13315581
ENSMUSG00000046133	C130073F10Rik	ENSG00000204481	PRAMEF14	1	13341892
ENSMUSG00000046133	C130073F10Rik	ENSG00000204480	PRAMEF19	1	13369067
ENSMUSG00000046133	C130073F10Rik	ENSG00000204479	PRAMEF17	1	13389632
ENSMUSG00000046133	C130073F10Rik	ENSG00000204478	PRAMEF20	1	13410450
ENSMUSG00000065097	Snora16a	ENSG00000280498	SNORA16A	1	28580920
ENSMUSG00000028927	Padi2	ENSG00000117115	PADI2	1	17066761
ENSMUSG00000025329	Padi1	ENSG00000142623	PADI1	1	17205128
ENSMUSG00000036905	C1qb	ENSG00000173369	C1QB	1	22652762
ENSMUSG00000050989	Sepn1	ENSG00000162430	SELENON	1	25800176
ENSMUSG00000050989	Sepn1	ENSG00000255054		1	25811470
ENSMUSG00000028591	Pramef12	ENSG00000279169	PRAMEF13	1	13196188
ENSMUSG00000028591	Pramef12	ENSG00000279804	PRAMEF18	1	13222705
